day_of_year,month,humidity,wind_speed,pressure,cloud_cover,previous_temp,temperature
2,1,70.63120532930336,12.643996035225111,1030.9508264687697,83.83102886633961,10.533851267612661,29.59868362123891
3,1,88.3188970630224,7.393991420760425,1033.361994982537,19.502081911353553,25.989851560961924,27.750234630537538
4,1,80.41956986593758,20.412674967413835,1023.9578744572179,48.38280940306747,22.958506757881757,27.88696750357109
5,1,44.63846734938847,20.796658759421426,985.1632358234385,54.838919574002276,8.058021130513296,29.74404118445475
6,1,49.510808519229656,23.74144897796563,992.5253080813579,79.35719087377447,22.09687282806779,32.54240108739491
7,1,86.78097395075702,21.314534463121284,1014.3637574253999,2.9446095076194,12.559837777955916,23.63304958759776
8,1,30.34224479676236,16.891208187759126,1032.7642622562664,36.244393813729026,15.046776926068237,38.528796596122135
9,1,83.3798471948798,6.302194425008154,989.0723312917364,47.517530196465486,10.42155552211667,26.256002159330578
10,1,81.809512868883,20.929149098475204,1010.7467617928218,58.88300009635281,31.79323517098325,28.257185937491833
11,1,60.41577193484185,18.74617056503556,1004.8237794930435,14.146489535693775,18.96443548319396,33.787353432136264
12,1,49.69710774325538,19.17793147710156,1005.3416080753644,54.35943028305914,22.805666414081724,36.72963501166366
13,1,48.09766478655027,18.040975714943627,998.4278725642253,69.3453873333769,12.900084384076617,34.80913067988283
14,1,46.566523197518094,21.09053356076695,998.5378075693244,73.30416684447995,17.000751344049895,33.79216417496604
15,1,58.92995988237203,8.850399089961627,996.9182092625664,22.43453149371737,23.52745659325608,33.531019208273186
16,1,62.795636832266965,17.466365826834508,990.1580543643656,44.07973702518421,25.92144335779547,33.65671614346629
17,1,65.97732788484201,13.897879377867223,1012.703507375995,29.79647093857868,29.76615982872166,33.03754137162068
18,1,94.70751842323553,9.770407825778115,1007.2973803416755,38.764232085753534,13.94319050837083,28.776809212165603
19,1,81.52302474889396,9.5173063238435,1020.6467577240129,36.301628857295164,13.755893796980516,29.859081627748406
20,1,70.44164991367558,5.575762882176863,1016.9968098130803,94.5119809632031,17.675010402528955,36.30427532018982
21,1,94.28240959932252,13.30531255902024,1032.6399043640033,1.339225673091038,15.400246656676373,24.62729113630828
22,1,43.995065385313936,10.480502456257588,1001.9809721276259,94.77257048225977,27.66823444807158,40.79317254340008
23,1,40.4137822007599,11.694875369982192,1029.124553690807,3.309867713156378,16.911595503587364,36.61952174792378
24,1,69.815074277747,21.58836194049483,1004.2384357214927,7.7918709308978595,16.96433344162289,30.031893727717407
25,1,32.85623051748992,17.674777684818608,1018.0343702719592,20.602322812406193,20.061288027904574,39.08203555028707
